iteration,docker start,docker end,execution start,execution end
0,1575000861.43573,1575000909.6515489,1575000909.6515496,1575000925.5380025
1,1575000926.5628352,1575000976.732372,1575000976.7323737,1575000991.6225972
2,1575000992.6528656,1575001040.4927716,1575001040.4927726,1575001055.1630569
3,1575001056.2236176,1575001104.39115,1575001104.3911512,1575001119.1417282
4,1575001120.191332,1575001168.520119,1575001168.52012,1575001183.174008
5,1575001184.2062404,1575001233.99931,1575001233.9993107,1575001248.779358
6,1575001249.7975473,1575001298.6645296,1575001298.6645305,1575001313.5018718
7,1575001314.5576105,1575001363.8875022,1575001363.887503,1575001378.7004778
8,1575001379.743048,1575001428.6480975,1575001428.6480997,1575001443.453794
9,1575001444.5225005,1575001494.5529754,1575001494.5529761,1575001509.502331
10,1575001510.5890322,1575001559.4392488,1575001559.439251,1575001574.0760686
11,1575001575.097372,1575001625.8426116,1575001625.8426127,1575001640.46058
12,1575001641.482522,1575001692.2582557,1575001692.2582564,1575001706.7858503
13,1575001707.8132067,1575001756.412502,1575001756.4125028,1575001770.995085
14,1575001772.0036738,1575001822.705607,1575001822.7056077,1575001837.3642912
15,1575001838.400312,1575001890.8358278,1575001890.8358305,1575001905.4591653
16,1575001906.465298,1575001957.8461359,1575001957.8461378,1575001972.433556
17,1575001973.4574833,1575002025.2452893,1575002025.2452905,1575002039.7861445
18,1575002040.8357296,1575002094.1397626,1575002094.1397634,1575002108.719333
19,1575002109.7358909,1575002162.2249064,1575002162.2249076,1575002176.7994459
20,1575002177.8219168,1575002228.4531932,1575002228.4531944,1575002243.0877266
21,1575002244.1275039,1575002293.186815,1575002293.186816,1575002307.7509787
22,1575002308.7774029,1575002356.9777007,1575002356.9777026,1575002371.5842302
23,1575002372.5976543,1575002421.7097254,1575002421.709726,1575002436.4766326
24,1575002437.5190666,1575002486.0139067,1575002486.0139086,1575002500.7590559
25,1575002501.8083127,1575002549.656984,1575002549.656986,1575002564.4985268
26,1575002565.5722258,1575002613.47056,1575002613.4705625,1575002628.3250613
27,1575002629.3713746,1575002677.779492,1575002677.7794929,1575002692.501122
28,1575002693.527512,1575002742.0127711,1575002742.012772,1575002756.6462076
29,1575002757.6519518,1575002805.0593307,1575002805.059332,1575002819.7170575
30,1575002820.764903,1575002868.3471446,1575002868.347147,1575002883.018986
31,1575002884.077759,1575002931.7295136,1575002931.7295148,1575002946.2991092
32,1575002947.308116,1575002995.7806556,1575002995.7806568,1575003010.3110678
33,1575003011.3267796,1575003060.083096,1575003060.0830967,1575003074.7381403
34,1575003075.7583597,1575003124.5138764,1575003124.5138774,1575003139.2553136
35,1575003140.3243866,1575003189.5595798,1575003189.5595822,1575003204.2680318
36,1575003205.3454223,1575003253.3639793,1575003253.3639803,1575003268.0403988
37,1575003269.12648,1575003317.7281954,1575003317.7281964,1575003332.56194
38,1575003333.6354554,1575003382.1290202,1575003382.1290224,1575003397.0234394
39,1575003398.0681405,1575003447.3417287,1575003447.3417296,1575003462.1126416
40,1575003463.1821597,1575003513.1515183,1575003513.1515205,1575003527.9519408
41,1575003529.0268877,1575003579.4869795,1575003579.4869819,1575003594.8612385
42,1575003595.9433339,1575003646.1352158,1575003646.1352167,1575003660.8804843
43,1575003661.9733365,1575003712.6240218,1575003712.6240225,1575003727.4199123
44,1575003728.4949832,1575003780.214681,1575003780.214683,1575003795.0717566
45,1575003796.1727185,1575003847.4550807,1575003847.4550984,1575003862.233185
46,1575003863.3017497,1575003915.0065007,1575003915.0065029,1575003929.8815844
47,1575003930.9579325,1575003981.8087585,1575003981.808776,1575003996.6663952
48,1575003997.696186,1575004049.0476382,1575004049.0476391,1575004063.8127375
49,1575004064.8575437,1575004116.7202568,1575004116.7202592,1575004131.5239942
50,1575004132.567342,1575004183.1810505,1575004183.1810515,1575004197.9657452
51,1575004199.0669847,1575004250.1328952,1575004250.1328974,1575004264.8902426
52,1575004265.9356189,1575004319.7958322,1575004319.7958329,1575004334.6154277
53,1575004335.7023692,1575004386.2297223,1575004386.2297235,1575004400.994383
54,1575004402.069261,1575004452.5734103,1575004452.5734127,1575004467.3307567
55,1575004468.3963385,1575004518.0884583,1575004518.0884593,1575004532.924715
56,1575004534.0186014,1575004583.3918335,1575004583.3918347,1575004598.213265
57,1575004599.2837188,1575004648.7167287,1575004648.7167308,1575004663.6289408
58,1575004664.6762996,1575004712.716531,1575004712.7165318,1575004727.257283
59,1575004728.3089252,1575004776.6715891,1575004776.6715913,1575004791.2328866
60,1575004792.2758858,1575004840.4058266,1575004840.405829,1575004854.8999085
61,1575004855.9452207,1575004904.3634741,1575004904.3634756,1575004918.975205
62,1575004920.0211325,1575004969.8756793,1575004969.8756816,1575004984.4687068
63,1575004985.4979436,1575005034.7877588,1575005034.7877607,1575005049.4088404
64,1575005050.484057,1575005100.6730015,1575005100.6730037,1575005115.2375903
65,1575005116.2942955,1575005166.00328,1575005166.0032818,1575005180.6662507
66,1575005181.7433887,1575005231.5126479,1575005231.512649,1575005246.1574287
67,1575005247.1983392,1575005296.5359204,1575005296.5359213,1575005311.1126614
68,1575005312.1732457,1575005362.2129598,1575005362.2129622,1575005376.7233803
