time,cpu,mem
1575000860.5828888,0.0,12.3
1575000861.5837717,27.7,12.3
1575000862.585088,21.4,12.3
1575000863.5863833,21.9,12.3
1575000864.5877233,21.9,12.3
1575000865.5890377,19.9,12.3
1575000866.590316,20.4,12.3
1575000867.5906947,22.4,12.3
1575000868.5920117,21.0,12.3
1575000869.5923474,24.5,12.7
1575000870.5936725,27.5,12.5
1575000871.5949543,29.5,12.6
1575000872.5962224,12.6,13.1
1575000873.5975237,4.4,13.2
1575000874.599255,3.7,13.2
1575000875.600939,9.6,15.8
1575000876.6021843,20.9,16.1
1575000877.6026657,37.1,16.1
1575000878.6039526,37.6,16.0
1575000879.6052258,36.8,16.0
1575000880.6064966,34.2,16.0
1575000881.6077726,36.8,16.0
1575000882.6091142,37.6,16.0
1575000883.6103754,38.9,16.1
1575000884.61173,37.3,16.1
1575000885.613024,37.1,16.0
1575000886.6142766,36.0,16.1
1575000887.614666,37.5,16.0
1575000888.6160133,35.6,16.0
1575000889.617289,34.3,16.1
1575000890.6180513,21.8,12.7
1575000891.6188397,17.1,12.5
1575000892.620097,14.2,12.5
1575000893.6213682,14.3,12.5
1575000894.6226785,14.5,12.5
1575000895.623971,17.0,12.5
1575000896.6252794,13.8,12.5
1575000897.6265912,11.3,12.5
1575000898.628333,2.4,12.5
1575000899.6300604,2.1,12.5
1575000900.6317387,35.3,12.5
1575000901.633031,31.1,12.3
1575000902.6342778,30.2,12.3
1575000903.6346595,29.6,12.3
1575000904.6359584,28.6,12.3
1575000905.637222,28.9,12.3
1575000906.6385443,22.0,12.5
1575000907.6402414,2.0,12.5
1575000908.6419554,2.0,12.5
1575000909.6427467,1.5,12.5
1575000910.6444278,18.1,12.6
1575000911.6457193,17.9,13.0
1575000912.6470046,12.2,15.8
1575000913.6474702,36.4,15.9
1575000914.6487405,41.1,15.9
1575000915.6499796,39.6,15.9
1575000916.6506703,38.4,15.9
1575000917.65195,39.1,15.9
1575000918.653195,38.8,15.9
1575000919.6544373,36.7,15.9
1575000920.655739,39.6,15.9
1575000921.6570776,37.7,15.9
1575000922.6583927,40.2,15.9
1575000923.6597095,40.9,15.9
1575000924.6609933,40.8,15.9
1575000925.6614485,24.7,12.3
1575000926.661878,27.0,12.3
1575000927.6627116,23.8,12.3
1575000928.6640153,23.0,12.3
1575000929.665327,21.5,12.3
1575000930.666646,22.8,12.3
1575000931.6679595,22.5,12.3
1575000932.6693153,22.0,12.3
1575000933.6707027,21.9,12.3
1575000934.672013,22.1,12.7
1575000935.6733766,25.7,12.5
1575000936.6750603,8.6,12.5
1575000937.6767476,27.4,12.7
1575000938.678063,12.0,13.2
1575000939.6794467,0.6,13.2
1575000940.681161,0.1,13.2
1575000941.6827326,4.3,13.2
1575000942.6844726,4.7,13.2
1575000943.6861618,11.1,15.9
1575000944.6866634,27.0,16.0
1575000945.6879334,37.4,16.0
1575000946.6892605,37.1,16.1
1575000947.690612,37.4,16.1
1575000948.6919959,38.3,16.1
1575000949.6933563,37.5,16.0
1575000950.6946583,36.6,16.1
1575000951.6960058,38.3,16.1
1575000952.6972587,36.7,16.1
1575000953.6985517,38.6,16.0
1575000954.6998885,36.8,16.1
1575000955.7011385,37.0,16.0
1575000956.702385,37.7,16.0
1575000957.7026649,32.5,16.1
1575000958.7039466,20.1,12.5
1575000959.7054307,17.6,12.5
1575000960.706739,13.9,12.5
1575000961.7070093,15.8,12.5
1575000962.7082372,14.4,12.5
1575000963.709488,16.2,12.5
1575000964.710743,14.2,12.5
1575000965.712166,8.6,12.5
1575000966.7139213,2.0,12.5
1575000967.7157578,2.3,12.5
1575000968.7164552,38.0,12.5
1575000969.7178528,29.5,12.3
1575000970.7192054,28.7,12.3
1575000971.7205877,29.2,12.3
1575000972.7220037,29.3,12.3
1575000973.722663,30.1,12.3
1575000974.7239997,20.8,12.5
1575000975.7257192,5.0,12.5
1575000976.7266998,1.8,12.5
1575000977.7283864,32.1,13.0
1575000978.7296681,14.0,15.8
1575000979.7306588,40.0,15.9
1575000980.731887,39.4,15.9
1575000981.7331798,36.5,15.9
1575000982.7344763,36.8,15.9
1575000983.7357285,38.3,15.9
1575000984.7370071,37.9,15.9
1575000985.738261,38.6,15.9
1575000986.7386644,38.3,15.9
1575000987.739938,40.1,15.9
1575000988.741261,40.0,15.9
1575000989.742563,39.9,15.9
1575000990.7438397,39.2,15.9
1575000991.7443557,25.2,12.3
1575000992.7447636,25.9,12.3
1575000993.7460759,22.3,12.3
1575000994.7467012,20.6,12.3
1575000995.7480125,21.8,12.3
1575000996.749255,21.6,12.3
1575000997.7505915,21.7,12.3
1575000998.7518353,22.4,12.3
