time,cpu,mem
1575000471.7614615,0.0,7.6
1575000472.7626898,19.3,7.9
1575000473.7640235,20.9,8.1
1575000474.7654545,13.2,8.4
1575000475.767149,14.9,10.9
1575000476.7684975,13.3,11.6
1575000477.7698138,36.5,11.5
1575000478.7706778,35.4,11.5
1575000479.7720106,35.6,11.5
1575000480.7732642,37.2,11.5
1575000481.774522,35.9,11.5
1575000482.7758586,36.6,11.5
1575000483.777178,37.6,11.5
1575000484.7784936,36.2,11.5
1575000485.7798529,37.7,11.5
1575000486.7811065,38.6,11.5
1575000487.782377,35.5,11.5
1575000488.7826672,37.9,11.5
1575000489.7839239,35.3,11.5
1575000490.7852254,32.9,11.5
1575000491.7855747,14.3,8.0
1575000492.7866776,14.1,8.0
1575000493.7882004,12.8,8.0
1575000494.7894979,12.4,8.0
1575000495.79042,20.2,7.9
1575000496.7910225,30.0,8.1
1575000497.7917016,46.7,8.5
1575000498.7923481,54.5,8.9
1575000499.7928767,40.6,8.7
