time,cpu,mem
1574993691.1330445,33.3,18.6
1574993691.143521,30.0,18.6
1574993691.1538315,12.5,18.6
1574993691.1641254,12.5,18.6
1574993691.1744268,25.0,18.7
1574993691.184749,25.0,18.7
1574993691.1950822,22.2,18.7
1574993691.2053783,22.2,18.7
1574993691.2156405,22.2,18.7
1574993691.2259274,12.5,18.7
1574993691.2362196,22.2,18.7
1574993691.2465384,25.0,18.7
1574993691.2569344,30.0,18.7
1574993691.2671983,12.5,18.7
1574993691.277481,12.5,18.7
1574993691.2877288,25.0,18.7
1574993691.2980556,12.5,18.7
1574993691.3083575,12.5,18.7
1574993691.3185987,11.1,18.7
1574993691.3288379,12.5,18.7
1574993691.339095,22.2,18.7
1574993691.349351,0.0,18.7
1574993691.3596084,22.2,18.7
1574993691.369832,0.0,18.7
1574993691.380096,22.2,18.7
1574993691.3904297,14.3,18.6
1574993691.4007268,12.5,18.6
1574993691.4109864,30.0,18.6
1574993691.4213195,22.2,18.7
1574993691.431779,30.0,18.6
1574993691.4421291,0.0,18.6
1574993691.452426,30.0,18.6
1574993691.4627144,12.5,18.6
1574993691.4730043,22.2,18.6
1574993691.4833274,25.0,18.6
1574993691.4936497,30.0,18.6
1574993691.5039785,12.5,18.6
1574993691.5142808,22.2,18.6
1574993691.5245082,12.5,18.6
1574993691.53471,12.5,18.6
1574993691.5449095,12.5,18.6
1574993691.5551283,12.5,18.6
1574993691.5653625,12.5,18.6
1574993691.5757325,22.2,18.5
1574993691.586122,36.4,18.6
1574993691.59641,14.3,18.6
1574993691.6067119,12.5,18.6
1574993691.6170018,22.2,18.6
1574993691.6272914,12.5,18.6
1574993691.637575,12.5,18.6
1574993691.6478517,12.5,18.6
1574993691.6581676,11.1,18.6
1574993691.6685097,33.3,18.6
1574993691.678781,12.5,18.6
1574993691.6890855,22.2,18.6
1574993691.699402,33.3,18.6
1574993691.7096953,12.5,18.6
1574993691.7199392,12.5,18.6
1574993691.730179,12.5,18.6
1574993691.7406244,12.5,18.6
1574993691.7509081,12.5,18.6
