time,cpu,mem
1574977681.138438-[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]-svmem(total=16609853440, available=14129545216, percent=14.9, used=1942900736, free=12437901312, active=2350538752, inactive=1128382464, buffers=154419200, cached=2074632192, shared=245592064, slab=349757440)-
1574977681.3893497-[0.0, 4.0, 4.0, 0.0, 4.0, 88.5, 4.0, 0.0]-svmem(total=16609853440, available=14124044288, percent=15.0, used=1946636288, free=12432568320, active=2353799168, inactive=1128263680, buffers=154419200, cached=2076229632, shared=247357440, slab=349757440)-
1574977681.6398618-[4.0, 25.0, 38.5, 4.0, 3.8, 0.0, 60.0, 3.8]-svmem(total=16609853440, available=14115721216, percent=15.0, used=1954918400, free=12424224768, active=2361745408, inactive=1128267776, buffers=154419200, cached=2076291072, shared=247398400, slab=349732864)-
1574977681.89069-[10.7, 0.0, 100.0, 12.5, 0.0, 4.0, 0.0, 4.0]-svmem(total=16609853440, available=14111342592, percent=15.0, used=1956593664, free=12419846144, active=2363666432, inactive=1130631168, buffers=154419200, cached=2078994432, shared=250101760, slab=349732864)-
1574977682.1416223-[84.0, 17.2, 12.5, 12.0, 0.0, 0.0, 4.2, 4.0]-svmem(total=16609853440, available=14113161216, percent=15.0, used=1954701312, free=12421652480, active=2360995840, inactive=1130635264, buffers=154431488, cached=2079068160, shared=250175488, slab=349732864)-
1574977682.3923464-[12.0, 4.0, 10.7, 3.8, 0.0, 91.7, 0.0, 12.0]-svmem(total=16609853440, available=14113636352, percent=15.0, used=1954185216, free=12422127616, active=2360852480, inactive=1130885120, buffers=154431488, cached=2079109120, shared=250216448, slab=349597696)-
1574977682.642914-[22.6, 4.0, 0.0, 4.0, 4.0, 100.0, 0.0, 12.0]-svmem(total=16609853440, available=14114869248, percent=15.0, used=1951944704, free=12423368704, active=2358968320, inactive=1131646976, buffers=154431488, cached=2080108544, shared=251224064, slab=349597696)-
1574977682.8934994-[22.6, 0.0, 11.1, 0.0, 0.0, 96.2, 4.0, 12.5]-svmem(total=16609853440, available=14115110912, percent=15.0, used=1951367168, free=12423618560, active=2357346304, inactive=1131884544, buffers=154431488, cached=2080436224, shared=251559936, slab=349589504)-
1574977683.1441069-[21.4, 14.3, 4.0, 73.1, 7.4, 24.0, 0.0, 3.8]-svmem(total=16609853440, available=14113951744, percent=15.0, used=1952518144, free=12422443008, active=2360115200, inactive=1131900928, buffers=154431488, cached=2080460800, shared=251559936, slab=349589504)-
1574977683.395076-[17.9, 8.3, 7.7, 8.7, 8.3, 12.5, 4.2, 96.0]-svmem(total=16609853440, available=14112923648, percent=15.0, used=1953554432, free=12421414912, active=2360246272, inactive=1131900928, buffers=154431488, cached=2080452608, shared=251559936, slab=349728768)-
1574977683.6456535-[23.3, 12.0, 4.0, 16.0, 12.0, 20.0, 11.5, 96.0]-svmem(total=16609853440, available=14125359104, percent=15.0, used=1940856832, free=12433850368, active=2347126784, inactive=1132146688, buffers=154431488, cached=2080714752, shared=251822080, slab=349728768)-
1574977683.8962424-[69.2, 36.7, 20.0, 20.0, 23.1, 23.1, 13.6, 4.3]-svmem(total=16609853440, available=14097391616, percent=15.1, used=1952051200, free=12405874688, active=2360635392, inactive=1135366144, buffers=154431488, cached=2097496064, shared=268595200, slab=349777920)-
1574977684.1471105-[40.7, 48.1, 37.5, 83.3, 9.1, 28.0, 30.8, 24.0]-svmem(total=16609853440, available=14074994688, percent=15.3, used=1957048320, free=12383215616, active=2363772928, inactive=1152487424, buffers=154431488, cached=2115158016, shared=286261248, slab=349798400)-
1574977684.3977323-[72.0, 27.6, 14.8, 24.0, 0.0, 12.0, 4.0, 19.2]-svmem(total=16609853440, available=14085693440, percent=15.2, used=1946079232, free=12394180608, active=2354659328, inactive=1152487424, buffers=154431488, cached=2115162112, shared=286261248, slab=349880320)-
1574977684.6482306-[11.5, 8.0, 15.4, 8.0, 8.3, 88.0, 25.0, 4.2]-svmem(total=16609853440, available=14081646592, percent=15.2, used=1950130176, free=12390125568, active=2356998144, inactive=1152491520, buffers=154431488, cached=2115166208, shared=286261248, slab=349876224)-
1574977684.8987556-[13.0, 11.5, 4.0, 4.2, 24.0, 8.0, 84.0, 0.0]-svmem(total=16609853440, available=14079275008, percent=15.2, used=1952501760, free=12387753984, active=2359738368, inactive=1152491520, buffers=154431488, cached=2115166208, shared=286261248, slab=349876224)-
1574977685.1494637-[20.0, 48.0, 7.7, 8.0, 57.7, 16.0, 7.7, 8.0]-svmem(total=16609853440, available=14074245120, percent=15.3, used=1957531648, free=12382724096, active=2363994112, inactive=1152491520, buffers=154431488, cached=2115166208, shared=286261248, slab=349876224)-
1574977685.4000225-[63.3, 53.8, 11.5, 14.8, 15.4, 8.0, 8.0, 15.4]-svmem(total=16609853440, available=14087802880, percent=15.2, used=1958309888, free=12396244992, active=2365177856, inactive=1151479808, buffers=154431488, cached=2100867072, shared=271925248, slab=349773824)-
1574977685.6509593-[100.0, 11.1, 20.0, 7.7, 8.0, 11.5, 12.0, 12.0]-svmem(total=16609853440, available=14087049216, percent=15.2, used=1959202816, free=12395491328, active=2365378560, inactive=1151471616, buffers=154431488, cached=2100727808, shared=271785984, slab=349773824)-
1574977685.901654-[44.8, 21.4, 15.4, 4.0, 11.1, 68.0, 0.0, 7.7]-svmem(total=16609853440, available=14087372800, percent=15.2, used=1958879232, free=12395814912, active=2365640704, inactive=1151471616, buffers=154431488, cached=2100727808, shared=271785984, slab=349773824)-
1574977686.1524007-[7.7, 11.1, 13.8, 14.3, 14.3, 20.0, 77.8, 0.0]-svmem(total=16609853440, available=14086848512, percent=15.2, used=1959403520, free=12395290624, active=2365521920, inactive=1151471616, buffers=154431488, cached=2100727808, shared=271785984, slab=349716480)-
